municipality,okres,kraj,population,smart_people_zmean,smart_people_n_indicators
Bánov,Nové Zámky,Nitriansky,3603,-0.4508,23
Bánovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky,16614,-0.4156,23
Banská Bystrica,Banská Bystrica,Banskobystrický,74590,-0.2866,23
Banská Štiavnica,Banská Štiavnica,Banskobystrický,9426,0.0961,23
Bardejov,Bardejov,Prešovský,30267,-0.2212,23
Bátorove Kosihy,Komárno,Nitriansky,3272,-0.6053,23
Belá,Nové Zámky,Nitriansky,3303,-0.4384,23
Belá nad Cirochou,Snina,Prešovský,3334,-0.883,23
Beluša,Púchov,Trenčiansky,6169,-0.5126,23
Bernolákovo,Senec,Bratislavský,9548,0.001,23
Bojnice,Prievidza,Trenčiansky,5035,0.5136,23
Borský Mikuláš,Senica,Trnavský,4005,-0.5245,23
Bošany,Partizánske,Trenčiansky,4000,-0.3096,23
Bratislava,Bratislava,Bratislavský,476922,0.9604,23
Brezno,Brezno,Banskobystrický,19866,-0.5292,23
Brezová pod Bradlom,Myjava,Trenčiansky,4657,-0.527,23
Bystrany,Spišská Nová Ves,Košický,3917,-0.7363,23
Bytča,Bytča,Žilinský,11448,-0.3343,23
Cabaj-Čápor,Nitra,Nitriansky,4322,-0.2788,23
Cífer,Trnava,Trnavský,4724,-0.2034,23
Čadca,Čadca,Žilinský,22730,-0.3532,23
Čachtice,Nové Mesto nad Váhom,Trenčiansky,3653,-0.3908,23
Čaňa,Košice - okolie,Košický,6016,-0.404,23
Čierna nad Tisou,Trebišov,Košický,3441,-0.266,23
Čierne,Čadca,Žilinský,4413,-0.6996,23
Čierny Balog,Brezno,Banskobystrický,4980,-0.4572,23
Detva,Detva,Banskobystrický,13704,-0.464,23
Dobšiná,Rožňava,Košický,5143,-0.4231,23
Dolná Súča,Trenčín,Trenčiansky,3074,-0.3052,23
Dolný Kubín,Dolný Kubín,Žilinský,17720,0.1778,23
Dubnica nad Váhom,Ilava,Trenčiansky,22023,-0.4715,23
